ID,Value,Name,Odds,TicketNumber
0,$1,10X,1:4.87,772
1,$1,$1 Break Fort Knox,1:4.85,710
2,$1,$50 Loaded!,1:4.84,838
3,$1,5X THE CASH,1:4.87,690
4,$1,Did I Win?,1:4.92,805
5,$1,EZ Money,1:4.79,743
6,$1,Gnome For The Holidays,1:4.79,822
7,$1,Icy Hot 7's,1:4.79,764
8,$1,Kentucky Jackpot,1:4.78,795
9,$1,Loose Change,1:4.79,680
10,$1,Ruby 6's,1:4.87,811
11,$1,Silver Dollars,1:4.79,750
12,$1,Wild 8's,1:4.65,696
13,$2,$100 Loaded!,1:4.54,839
14,$2,$100 IN A FLASH,1:4.57,790
15,$2,10X THE CASH,1:4.80,691
16,$2,20X,1:4.82,773
17,$2,$2 Break Fort Knox,1:4.83,711
18,$2,Big Money Spectacular,1:4.65,789
19,$2,Crazy Luck HD,1:4.80,849
20,$2,Fast 5X,1:4.39,753
21,$2,Find $100,1:4.57,707
22,$2,Gold Rush $2,1:4.81,777
23,$2,Kentucky Jackpot,1:4.82,796
24,$2,Love To Win,1:4.66,780
25,$2,Polar Payout,1:3.83,823
26,$2,Quick $20's,1:4.80,791
27,$2,Red Hot 100's,1:4.58,681
28,$2,Sapphire 7's,1:4.81,812
29,$2,Triple 777,1:4.54,744
30,$3,Bingo,1:3.59,759
31,$3,Crossword,1:3.86,758
32,$3,Gold Fish®,1:3.79,787
33,$3,Groovy Slingo Trio,1:3.59,818
34,$3,Peppermint Payout,1:3.56,819
35,$3,The Cash Wheel,1:3.69,829
36,$3,Twisted,1:3.56,802
37,$5,20X THE CASH,1:3.69,692
38,$5,21 Cash,1:3.52,781
39,$5,24 Karat Gold,1:3.75,817
40,$5,$500 Loaded!,1:3.94,840
41,$5,50X,1:3.53,774
42,$5,$5 Break Fort Knox,1:4.05,712
43,$5,7-703,1:3.29,703
44,$5,Amethyst 8's,1:3.73,813
45,$5,Big Cash Riches,1:3.52,800
46,$5,Big Money,1:3.69,718
47,$5,Black Pearls,1:3.76,836
48,$5,Bonus Cash Doubler,1:4.92,751
49,$5,Deluxe Crossword Doubler,1:3.96,533
50,$5,Fab 4,1:4.04,794
51,$5,Fat Wallet,1:3.52,717
52,$5,Folding Money Double Bonus,1:4.93,682
53,$5,Frosty Cash,1:3.97,824
54,$5,Full of $500's Limited Edition,1:3.97,851
55,$5,Full of $500's Holiday Edition,1:3.97,826
56,$5,Funky 5's,1:3.78,837
57,$5,Giant Jumbo Bucks,1:3.50,674
58,$5,Gold Rush $5,1:3.73,778
59,$5,Kentucky Jackpot,1:3.53,797
60,$5,Kentucky Millions $5,1:3.93,735
61,$5,Lady Luck,1:3.72,801
62,$5,Lucky 7 Bonus,1:3.32,786
63,$5,Lucky 7's Tripler,1:3.74,656
64,$5,Mega Super Hot 7's,1:4.10,830
65,$5,Money Multiplier Bonus,1:3.52,804
66,$5,Payday,1:3.52,725
67,$5,Power Shot,1:3.58,833
68,$5,Queen of Hearts,1:4.90,827
69,$5,Spicy Hot Crossword,1:3.75,705
70,$5,Win Win Win,1:3.69,834
71,$10,"$25, $50, $100 Blowout",1:4.69,716
72,$10,$30 Million Payout Spectacular,1:3.37,792
73,$10,"$50, $100, and $500 Blowout!",1:9.75,788
74,$10,$1000 Loaded!,1:3.27,841
75,$10,100X,1:3.43,775
76,$10,$10 Break Fort Knox,1:2.95,713
77,$10,"$200,000 Cash",1:3.46,763
78,$10,50X THE CASH,1:3.28,693
79,$10,Bluegrass Blowout,1:3.12,815
80,$10,Emerald 9's,1:3.43,814
81,$10,Gold Rush $10,1:3.45,779
82,$10,Kentucky Jackpot,1:3.47,798
83,$10,Kentucky Millions $10,1:3.45,736
84,$10,Lucky,1:3.13,748
85,$10,Monopoly™,1:3.49,770
86,$10,Multiplier Craze,1:3.19,807
87,$10,Payout Party,1:3.35,831
88,$10,Power 10's,1:3.48,806
89,$10,Tree-Mendous winnings,1:3.06,825
90,$10,Triple Jackpot,1:3.45,746
91,$10,Triple Red 777's,1:3.20,722
92,$20,$2000 Loaded!,1:3.70,842
93,$20,200X- 771,1:3.58,771
94,$20,Break Fort Knox,1:3.60,723
95,$20,High Roller,1:3.66,832
96,$20,Kentucky Jackpot,1:3.59,799
97,$20,Kentucky Millions,1:3.48,719
98,$20,Max-A-Million,1:3.61,747
99,$20,Mega Millionaire,1:3.58,808
100,$20,Million $$ Match,1:3.58,755
101,$20,Money Limited Edition,1:3.60,768
102,$20,Topaz 10's,1:3.66,816
103,$30,Break Fort Knox,1:2.48,714
104,$30,"$2,000,000 Diamond Dazzler",1:3.12,810
105,$30,Fastest Road to $3 Million™,1:2.60,757
106,$30,Gold Rush $30,1:2.60,761
