ID,Value,Name,Odds,TicketNumber
4,30,"$3,000 In A Flash",36.63%,1108
2,30,"$5,000 In A Flash",36.50%,1159
7,30,Gigantic Jumbo Bucks,36.36%,1891
5,30,Jumbo Bucks Titanium,35.97%,928
3,20,Holiday Cash Bonus,35.46%,1134
6,30,Royal Jumbo Bucks,35.46%,866
3,30,Jumbo Bucks Bonus,35.34%,1142
8,30,Jumbo Bucks 300X,34.97%,802
8,10,Holiday Delight,34.48%,1138
3,25,Mega Millionaire Jumbo Bucks,34.36%,990 &
4,25,Ultimate 200X,34.25%,737
6,20,Diamonds & Gold,34.13%,781
7,20,"$1,000,000 Cash Blowout",33.90%,773
12,20,"$1,000,000 Platinum Payout",33.90%,721
11,20,"$3,000,000 Mega Cash",33.44%,374
13,20,"$1,000,000 Frenzy",33.33%,749
10,20,Millionaire Jumbo Bucks,33.22%,1960
4,20,Million $$ Match,32.79%,1125
2,20,Win Big,32.68%,1150
5,20,Double Diamond Spectacular,32.68%,874
3,10,Jumbo Jumbo Bucks Limited,31.85%,1174
7,10,Jumbo Bucks premium edition,31.75%,1146
22,10,Jumbo Jumbo Bucks,31.75%,1991
2,3,Loteria,31.15%,1119
9,20,Million Dollar Winner,31.15%,810
7,5,Jumbo Bucks premium edition,30.67%,1145
15,10,Fast Cash Fever,30.67%,935
18,5,Giant Jumbo Bucks,30.58%,959 &
16,10,Fantastic 10’s,30.21%,919
19,10,Extra Play Jumbo Bucks Crossword,30.12%,859
8,20,$1 Million Royale,29.85%,789
9,10,"$500,000 Bankroll",29.59%,1133
14,10,100X Bonus,29.15%,1103
18,10,"Red Hot $500,000",29.15%,895
6,10,Show Me 100X,28.99%,1154
12,10,Blazing Hot 7’s,28.99%,1116
21,10,Hit The Jackpot,28.99%,822
5,10,Blazing Suits,28.90%,1158
10,10,Diamonds,28.90%,1129
11,10,Go For The Green,28.90%,1121
20,10,Jackpot,28.82%,873
17,10,"Hit $5,000",28.41%,915
4,10,"$500,000 Jackpot",27.70%,1163
13,10,"$500,000 Riches",27.70%,1112
2,25,Golden 7’s,27.62%,818
17,5,Giant Jumbo Bucks Crossword,27.47%,858
3,3,Jumbo Bucks Seasons,27.40%,1901 &
6,3,Jumbo Bucks Seasons,27.40%,901
7,3,Lady Jumbo Bucks,26.11%,853
14,5,White Hot 7’s,25.91%,1115
2,10,"HOT $500,000",25.71%,1167
4,3,Jumbo Bucks Crossword,25.64%,856
5,3,Jumbo Bucks Bingo,25.58%,854
3,5,Cash Frenzy,25.19%,1162
8,5,"$200,000 Cool Cash",25.19%,1141
11,5,Sapphires,25.19%,1128
15,5,Electric Ca$h,25.19%,1106
12,5,Lucky Fortune,25.13%,1124
2,5,"HOT $200,000",25.00%,1166
9,5,Merry AND Bright,25.00%,1137
13,5,Gold Payout,25.00%,1120
19,5,Winning Streak,25.00%,759
6,5,Ultimate 7’s,24.69%,1149
8,2,Jumbo Bucks premium edition,24.15%,1144
10,2,Holiday Money,24.15%,1136
19,2,Cash Bonanza,24.15%,926
4,5,Black Pearls,24.15%,1157
16,5,50X Bonus,23.92%,1102
9,1,Holiday Game,23.87%,1135
5,5,Show Me 50X,23.87%,1153
10,5,$200K Cash,23.81%,1132
21,2,Jumbo Bucks,23.75%,1852
3,2,Raceway Riches,22.73%,1173
2,2,"HOT $20,000",22.62%,1165
4,2,Payday,22.62%,1161
7,2,Triple $$$,22.62%,1148
12,2,Rubies,22.62%,1127
15,2,Flaming Hot 7’s,22.62%,1114
5,2,triple luck,22.17%,1156
9,2,Triple 333,22.17%,1140
11,2,Cash Spooktacular,22.17%,1131
16,2,777,22.17%,1109
18,2,Lady Luck Doubler,22.17%,933
20,2,Boo Koo Bucks,22.17%,917
6,2,Show Me 20X,22.08%,1152
2,1,"HOT $5,000",22.03%,1164
13,2,Big Money Spectacular,21.98%,1123
14,2,Silver Payout,21.98%,1118
17,2,Booming Bucks,21.98%,1105
19,1,Red Hot DOUBLE DOUBLER,21.60%,903
3,1,Neon $,21.46%,1160
6,1,Wild Doubler $$,21.46%,1147
7,1,Jumbo Bucks premium edition,21.46%,1143
8,1,Platinum Doubler,21.46%,1139
11,1,Emeralds,21.46%,1126
14,1,Hot 7’s,21.46%,1113
4,1,Casino NIGHTS,21.37%,1155
21,1,"$5,000 Wild Cherries",21.37%,849
23,1,Junior Jumbo Bucks,21.32%,851
16,1,10X Bonus,21.10%,1100
18,1,The Crown Jewels,21.10%,907
5,1,Show Me 10X,21.05%,1151
20,1,Lady Luck,21.05%,884
10,1,Double It!,20.88%,1130
12,1,"$5,000 Win It All",20.58%,1122
13,1,9’s In A Line,20.33%,1117
15,1,Wild Numbers,20.33%,1104
17,1,Neon 9s,20.20%,925
22,1,Lucky 7’s,20.16%,762 &
