ID,Value,Name,Odds,TicketNumber
2,1,"HOT $5,000",4.54,1164
3,1,Neon $,4.66,1160
4,1,Casino NIGHTS,4.68,1155
5,1,Show Me 10X,4.75,1151
6,1,Wild Doubler $$,4.66,1147
7,1,Jumbo Bucks premium edition,4.66,1143
8,1,Platinum Doubler,4.66,1139
9,1,Holiday Game,4.19,1135
10,1,Double It!,4.79,1130
11,1,Emeralds,4.66,1126
12,1,"$5,000 Win It All",4.86,1122
13,1,9’s In A Line,4.92,1117
14,1,Hot 7’s,4.66,1113
15,1,Wild Numbers,4.92,1104
16,1,10X Bonus,4.74,1100
17,1,Neon 9s,4.95,925
18,1,The Crown Jewels,4.74,907
19,1,Red Hot DOUBLE DOUBLER,4.63,903
20,1,Lady Luck,4.75,884
21,1,"$5,000 Wild Cherries",4.68,849
22,1,Lucky 7’s,4.96,762 &
23,1,Junior Jumbo Bucks,4.69,851
2,2,"HOT $20,000",4.42,1165
3,2,Raceway Riches,4.40,1173
4,2,Payday,4.42,1161
5,2,triple luck,4.51,1156
6,2,Show Me 20X,4.53,1152
7,2,Triple $$$,4.42,1148
8,2,Jumbo Bucks premium edition,4.14,1144
9,2,Triple 333,4.51,1140
10,2,Holiday Money,4.14,1136
11,2,Cash Spooktacular,4.51,1131
12,2,Rubies,4.42,1127
13,2,Big Money Spectacular,4.55,1123
14,2,Silver Payout,4.55,1118
15,2,Flaming Hot 7’s,4.42,1114
16,2,777,4.51,1109
17,2,Booming Bucks,4.55,1105
18,2,Lady Luck Doubler,4.51,933
19,2,Cash Bonanza,4.14,926
20,2,Boo Koo Bucks,4.51,917
21,2,Jumbo Bucks,4.21,1852
2,3,Loteria,3.21,1119
3,3,Jumbo Bucks Seasons,3.65,1901 &
4,3,Jumbo Bucks Crossword,3.90,856
5,3,Jumbo Bucks Bingo,3.91,854
6,3,Jumbo Bucks Seasons,3.65,901
7,3,Lady Jumbo Bucks,3.83,853
2,5,"HOT $200,000",4.00,1166
3,5,Cash Frenzy,3.97,1162
4,5,Black Pearls,4.14,1157
5,5,Show Me 50X,4.19,1153
6,5,Ultimate 7’s,4.05,1149
7,5,Jumbo Bucks premium edition,3.26,1145
8,5,"$200,000 Cool Cash",3.97,1141
9,5,Merry AND Bright,4.00,1137
10,5,$200K Cash,4.20,1132
11,5,Sapphires,3.97,1128
12,5,Lucky Fortune,3.98,1124
13,5,Gold Payout,4.00,1120
14,5,White Hot 7’s,3.86,1115
15,5,Electric Ca$h,3.97,1106
16,5,50X Bonus,4.18,1102
17,5,Giant Jumbo Bucks Crossword,3.64,858
18,5,Giant Jumbo Bucks,3.27,959 &
19,5,Winning Streak,4.00,759
2,10,"HOT $500,000",3.89,1167
3,10,Jumbo Jumbo Bucks Limited,3.14,1174
4,10,"$500,000 Jackpot",3.61,1163
5,10,Blazing Suits,3.46,1158
6,10,Show Me 100X,3.45,1154
7,10,Jumbo Bucks premium edition,3.15,1146
8,10,Holiday Delight,2.90,1138
9,10,"$500,000 Bankroll",3.38,1133
10,10,Diamonds,3.46,1129
11,10,Go For The Green,3.46,1121
12,10,Blazing Hot 7’s,3.45,1116
13,10,"$500,000 Riches",3.61,1112
14,10,100X Bonus,3.43,1103
15,10,Fast Cash Fever,3.26,935
16,10,Fantastic 10’s,3.31,919
17,10,"Hit $5,000",3.52,915
18,10,"Red Hot $500,000",3.43,895
19,10,Extra Play Jumbo Bucks Crossword,3.32,859
20,10,Jackpot,3.47,873
21,10,Hit The Jackpot,3.45,822
22,10,Jumbo Jumbo Bucks,3.15,1991
2,20,Win Big,3.06,1150
3,20,Holiday Cash Bonus,2.82,1134
4,20,Million $$ Match,3.05,1125
5,20,Double Diamond Spectacular,3.06,874
6,20,Diamonds & Gold,2.93,781
7,20,"$1,000,000 Cash Blowout",2.95,773
8,20,$1 Million Royale,3.35,789
9,20,Million Dollar Winner,3.21,810
10,20,Millionaire Jumbo Bucks,3.01,1960
11,20,"$3,000,000 Mega Cash",2.99,374
12,20,"$1,000,000 Platinum Payout",2.95,721
13,20,"$1,000,000 Frenzy",3.00,749
2,25,Golden 7’s,3.62,818
3,25,Mega Millionaire Jumbo Bucks,2.91,990 &
4,25,Ultimate 200X,2.92,737
2,30,"$5,000 In A Flash",2.74,1159
3,30,Jumbo Bucks Bonus,2.83,1142
4,30,"$3,000 In A Flash",2.73,1108
5,30,Jumbo Bucks Titanium,2.78,928
6,30,Royal Jumbo Bucks,2.82,866
7,30,Gigantic Jumbo Bucks,2.75,1891
8,30,Jumbo Bucks 300X,2.86,802
